No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
2427,20220210,10:07:00 AM,2022,2,10,10,7,SPY,C,500,6/17/2022,2.64,456.14,0.91228,91,0.000745564,0.41
2428,20220210,10:08:00 AM,2022,2,10,10,8,SPY,C,500,6/17/2022,2.68,456.265,0.91253,91,0.000553793,0.41
2429,20220210,10:12:00 AM,2022,2,10,10,12,SPY,C,500,6/17/2022,2.68,456.375,0.91275,91,0.000335497,0.41
2430,20220210,10:15:00 AM,2022,2,10,10,15,SPY,C,500,6/17/2022,2.63,456.005,0.91201,91,0.000487094,0.41
2431,20220210,10:16:00 AM,2022,2,10,10,16,SPY,C,500,6/17/2022,2.56,455.725,0.91145,91,0.00050666,0.41
2432,20220210,10:17:00 AM,2022,2,10,10,17,SPY,C,500,6/17/2022,2.61,455.545,0.91109,91,0.000495769,0.41
2433,20220210,10:18:00 AM,2022,2,10,10,18,SPY,C,500,6/17/2022,2.67,455.845,0.91169,91,0.000614985,0.41
2434,20220210,10:21:00 AM,2022,2,10,10,21,SPY,C,500,6/17/2022,2.58,455.495,0.91099,91,0.000606082,0.41
2435,20220210,10:24:00 AM,2022,2,10,10,24,SPY,C,500,6/17/2022,2.58,455.715,0.91143,91,0.000653609,0.41
2436,20220210,10:25:00 AM,2022,2,10,10,25,SPY,C,500,6/17/2022,2.58,455.725,0.91145,91,0.000594345,0.41
2437,20220210,10:30:00 AM,2022,2,10,10,30,SPY,C,500,6/17/2022,2.58,456.095,0.91219,91,0.000637279,0.41
2438,20220210,10:32:00 AM,2022,2,10,10,32,SPY,C,500,6/17/2022,2.65,456.455,0.91291,91,0.000660916,0.41
2439,20220210,10:34:00 AM,2022,2,10,10,34,SPY,C,500,6/17/2022,2.63,456.1,0.9122,91,0.000664808,0.41
2440,20220210,10:41:00 AM,2022,2,10,10,41,SPY,C,500,6/17/2022,2.76,457.54,0.91508,91,0.001470652,0.41
2441,20220210,10:43:00 AM,2022,2,10,10,43,SPY,C,500,6/17/2022,2.88,457.34,0.91468,91,0.001543915,0.41
2442,20220210,10:50:00 AM,2022,2,10,10,50,SPY,C,500,6/17/2022,2.76,456.315,0.91263,91,0.002022489,0.41
2443,20220210,10:59:00 AM,2022,2,10,10,59,SPY,C,500,6/17/2022,2.56,455.49,0.91098,91,0.002131192,0.41
2444,20220210,11:07:00 AM,2022,2,10,11,7,SPY,C,500,6/17/2022,2.57,456.125,0.91225,91,0.002257957,0.41
